-1. -10.
-1. -3.33333
-1. -2.
-1. -1.42857
-1. -1.11111
-1. -0.909091
-1. -0.769231
-1. -0.666667
-1. -0.588235
-1. -0.526316
-0.5 -10.
-0.5 -3.33333
-0.5 -2.
-0.5 -1.42857
-0.5 -1.11111
-0.5 -0.909091
-0.5 -0.769231
-0.5 -0.666667
-0.5 -0.588235
-0.5 -0.526316
0. -10.
0. -3.33333
0. -2.
0. -1.42857
0. -1.11111
0. -0.909091
0. -0.769231
0. -0.666667
0. -0.588235
0. -0.526316
0.5 -10.
0.5 -3.33333
0.5 -2.
0.5 -1.42857
0.5 -1.11111
0.5 -0.909091
0.5 -0.769231
0.5 -0.666667
0.5 -0.588235
0.5 -0.526316
1. -10.
1. -3.33333
1. -2.
1. -1.42857
1. -1.11111
1. -0.909091
1. -0.769231
1. -0.666667
1. -0.588235
1. -0.526316
1.5 -10.
1.5 -3.33333
1.5 -2.
1.5 -1.42857
1.5 -1.11111
1.5 -0.909091
1.5 -0.769231
1.5 -0.666667
1.5 -0.588235
1.5 -0.526316
2. -10.
2. -3.33333
2. -2.
2. -1.42857
2. -1.11111
2. -0.909091
2. -0.769231
2. -0.666667
2. -0.588235
2. -0.526316
2.5 -10.
2.5 -3.33333
2.5 -2.
2.5 -1.42857
2.5 -1.11111
2.5 -0.909091
2.5 -0.769231
2.5 -0.666667
2.5 -0.588235
2.5 -0.526316
3. -10.
3. -3.33333
3. -2.
3. -1.42857
3. -1.11111
3. -0.909091
3. -0.769231
3. -0.666667
3. -0.588235
3. -0.526316
3.5 -10.
3.5 -3.33333
3.5 -2.
3.5 -1.42857
3.5 -1.11111
3.5 -0.909091
3.5 -0.769231
3.5 -0.666667
3.5 -0.588235
3.5 -0.526316
4. -10.
4. -3.33333
4. -2.
4. -1.42857
4. -1.11111
4. -0.909091
4. -0.769231
4. -0.666667
4. -0.588235
4. -0.526316
4.5 -10.
4.5 -3.33333
4.5 -2.
4.5 -1.42857
4.5 -1.11111
4.5 -0.909091
4.5 -0.769231
4.5 -0.666667
4.5 -0.588235
4.5 -0.526316
5. -10.
5. -3.33333
5. -2.
5. -1.42857
5. -1.11111
5. -0.909091
5. -0.769231
5. -0.666667
5. -0.588235
5. -0.526316
