1.33693,7.02859,2.94129
1.33645,7.04119,2.94168
1.33562,7.04193,2.94218
1.33446,7.02791,2.94273
1.33256,7.02396,2.94377
1.33045,6.99739,2.94473
1.32756,6.98103,2.94618
1.32377,6.97947,2.94818
1.3201,6.93263,2.9497
1.31507,6.92195,2.95213
1.30986,6.88113,2.95433
1.30374,6.84681,2.95691
1.29694,6.80591,2.95964
1.28944,6.75728,2.9625
1.28068,6.72352,2.96582
1.27205,6.64638,2.96873
1.26197,6.58863,2.97217
1.25123,6.51968,2.97566
1.23946,6.45064,2.97938
1.22622,6.39298,2.98343
1.21335,6.29737,2.98726
1.20019,6.18846,2.99121
1.1852,6.1,2.99562
1.17033,5.99275,3.00016
1.15684,5.85503,3.00493
1.14156,5.73889,3.01024
1.12538,5.62868,3.01596
1.11674,5.44357,3.02284
1.10511,5.30018,3.03045
1.09853,5.132,3.03978
1.0933,4.9734,3.05055
1.09184,4.81332,3.06335
1.09123,4.66794,3.07759
1.09651,4.51853,3.0946
1.11754,4.34344,3.1176
1.15288,4.16421,3.14677
1.19386,4.00672,3.17934
1.23885,3.87086,3.21442
1.27473,3.76998,3.24688
1.32822,3.66513,3.28586
1.36304,3.59564,3.31794
1.41343,3.52355,3.35516
1.46521,3.46235,3.39205
1.52339,3.40749,3.43001
1.56791,3.36909,3.46193
1.59735,3.34363,3.4876
1.63755,3.31746,3.51541
1.66937,3.29846,3.53918
1.69135,3.28555,3.55874
1.71893,3.27287,3.57867
1.74634,3.26219,3.59723
1.76456,3.25542,3.61216
1.77654,3.25112,3.62449
1.79273,3.24664,3.63693
1.81525,3.24169,3.64987
1.82746,3.2394,3.6596
1.83652,3.2381,3.66794
1.84882,3.23666,3.6763
1.85637,3.23629,3.68315
1.86141,3.23652,3.68906
1.87216,3.23622,3.6956
1.87689,3.23693,3.7007
1.87915,3.2381,3.70506
1.88547,3.2389,3.70987
1.89328,3.23966,3.71463
1.89554,3.24107,3.71824
1.90231,3.24198,3.72226
1.90424,3.24325,3.72523
1.90613,3.24428,3.72781
1.90945,3.24479,3.73011
1.91069,3.24492,3.73148
1.91337,3.24414,3.73226
1.91438,3.24248,3.73181
1.91359,3.23964,3.7299
1.91079,3.23529,3.72622
1.90862,3.22886,3.72077
1.90541,3.22005,3.71294
1.89839,3.20857,3.70206
1.88625,3.19395,3.68755
1.87435,3.1753,3.66944
1.85949,3.15219,3.64685
1.84239,3.12392,3.61922
1.81898,3.08995,3.58557
1.79019,3.04943,3.54524
1.75888,3.00136,3.49765
1.71922,2.94505,3.44152
1.67281,2.87934,3.37595
1.62097,2.803,3.29994
1.55987,2.71479,3.21196
1.49044,2.61311,3.11057
1.40918,2.49617,2.99381
1.31467,2.36171,2.85948
1.20751,2.2069,2.70488
1.08424,2.02826,2.52646
0.939486,1.82134,2.31969
0.77116,1.58051,2.07902
0.575835,1.29971,1.7984
0.351601,0.977564,1.47642
0.121535,0.646522,1.14552
0.00041431,0.473184,0.972242
