Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.18     0.00   170752     0.00     0.00  std::iterator_traits<__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > >::iterator_category std::__iterator_category<__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > >(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > > const&)
  0.00      0.18     0.00   167429     0.00     0.00  std::_Vector_base<diffusionstore, std::allocator<diffusionstore> >::_M_get_Tp_allocator()
  0.00      0.18     0.00   165764     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >::difference_type __gnu_cxx::operator-<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > >(__gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > const&, __gnu_cxx::__normal_iterator<diffusionstore*, std::vector<diffusionstore, std::allocator<diffusionstore> > > const&)
  0.00      0.18     0.00   158862     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::operator+=(long)
  0.00      0.18     0.00   158862     0.00     0.00  bool __gnu_cxx::__ops::_Iter_less_val::operator()<__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >, diffusionstore2 const>(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >, diffusionstore2 const&) const
  0.00      0.18     0.00   158862     0.00     0.00  void std::advance<__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >, long>(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >&, long)
  0.00      0.18     0.00   158862     0.00     0.00  void std::__advance<__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >, long>(__gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >&, long, std::random_access_iterator_tag)
  0.00      0.18     0.00   144572     0.00     0.00  __gnu_cxx::__normal_iterator<diffusionstore2*, std::vector<diffusionstore2, std::allocator<diffusionstore2> > >::operator++()
  0.00      0.18     0.00   142767     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::begin()
  0.00      0.18     0.00   142552     0.00     0.00  std::remove_reference<diffusionstore2&>::type&& std::move<diffusionstore2&>(diffusionstore2&)
  0.00      0.18     0.00   132832     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::end()
  0.00      0.18     0.00   127429     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.18     0.00   127428     0.00     0.00  __gnu_cxx::new_allocator<diffusionstore>::max_size() const
  0.00      0.18     0.00   127428     0.00     0.00  std::_Vector_base<diffusionstore, std::allocator<diffusionstore> >::_M_get_Tp_allocator() const
  0.00      0.18     0.00   127428     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::max_size() const
  0.00      0.18     0.00   127428     0.00     0.00  std::allocator_traits<std::allocator<diffusionstore> >::max_size(std::allocator<diffusionstore> const&)
  0.00      0.18     0.00   127428     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::_S_max_size(std::allocator<diffusionstore> const&)
  0.00      0.18     0.00   127428     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::_S_relocate(diffusionstore*, diffusionstore*, diffusionstore*, std::allocator<diffusionstore>&)
  0.00      0.18     0.00   127428     0.00     0.00  std::vector<diffusionstore, std::allocator<diffusionstore> >::_S_do_relocate(diffusionstore*, diffusionstore*, diffusionstore*, std::allocator<diffusionstore>&, std::integral_constant<bool, true>)
  0.00      0.18     0.00   127428     0.00     0.00  diffusionstore* std::__relocate_a<diffusionstore*, diffusionstore*, std::allocator<diffusionstore> >(diffusionstore*, diffusionstore*, diffusionstore*, std::allocator<diffusionstore>&)
  0.00      0.18     0.00   127428     0.00     0.00  std::enable_if<std::__is_bitwise_relocatable<diffusionstore, void>::value, diffusionstore*>::type std::__relocate_a_1<diffusionstore, diffusionstore>(diffusionstore*, diffusionstore*, diffusionstore*, std::allocator<diffusionstore>&)
